数据规模,数据分布,排序算法,运行时间(ms),保留框数
100,随机,快速排序,0.000,100
100,随机,归并排序,0.000,100
100,随机,堆排序,0.000,100
100,随机,插入排序,0.000,100
100,聚集,快速排序,0.000,94
100,聚集,归并排序,0.000,94
100,聚集,堆排序,0.000,94
100,聚集,插入排序,0.000,94
500,随机,快速排序,5.378,432
500,随机,归并排序,4.664,432
500,随机,堆排序,7.004,434
500,随机,插入排序,4.954,432
500,聚集,快速排序,1.529,370
500,聚集,归并排序,2.018,370
500,聚集,堆排序,3.011,372
500,聚集,插入排序,1.100,370
1000,随机,快速排序,16.685,771
1000,随机,归并排序,13.313,771
1000,随机,堆排序,11.056,765
1000,随机,插入排序,9.341,771
1000,聚集,快速排序,4.679,617
1000,聚集,归并排序,4.812,617
1000,聚集,堆排序,5.263,629
1000,聚集,插入排序,9.517,617
2000,随机,快速排序,44.494,1330
2000,随机,归并排序,42.206,1330
2000,随机,堆排序,41.262,1343
2000,随机,插入排序,39.808,1330
2000,聚集,快速排序,24.257,1033
2000,聚集,归并排序,26.603,1033
2000,聚集,堆排序,26.603,1019
2000,聚集,插入排序,30.720,1033
5000,随机,快速排序,157.835,2649
5000,随机,归并排序,159.864,2649
5000,随机,堆排序,153.591,2645
5000,随机,插入排序,173.953,2649
5000,聚集,快速排序,88.326,1796
5000,聚集,归并排序,90.366,1796
5000,聚集,堆排序,86.200,1790
5000,聚集,插入排序,105.517,1796
10000,随机,快速排序,420.162,4169
10000,随机,归并排序,423.690,4169
10000,随机,堆排序,421.848,4197
10000,随机,插入排序,488.987,4169
10000,聚集,快速排序,209.030,2561
10000,聚集,归并排序,210.971,2561
10000,聚集,堆排序,216.506,2590
10000,聚集,插入排序,286.426,2561
